lat,lon,LST,NDVI,NDBI,NDWI,UHI_index,heat_zone,pop_density,dist_water,elevation,imperv_fraction,heat_stress_index,land_use,gi_z_score,is_hotspot,is_coldspot,hotspot_score,cluster_id
28.577983051631637,77.3326231738455,45.73,0.5372,-0.0785,-0.1577,1.1126,High,15492,17.827,192.5,0.3892,0.5155,Residential,7.509,True,False,0.4863,31
28.84484719464733,77.20705309328483,34.7,0.4911,-0.1624,-0.206,-1.4991,Low,15252,20.105,185.4,0.3235,0.2949,Green Space,-1.486,False,False,0.2852,-1
28.709055257638717,77.18520644184294,35.21,0.285,-0.1962,-0.0629,-1.3784,Low,22186,5.17,195.3,0.4145,0.3587,Water Body,3.074,True,False,0.3762,74
28.794925574369998,77.02432511420491,41.79,0.3421,-0.1264,-0.1471,0.1787,Moderate,12624,24.054,197.4,0.433,0.4669,Residential,-0.731,False,False,0.4613,-1
28.61283881543712,76.84115187508601,40.0,0.4659,-0.2277,-0.2613,-0.2446,Moderate,8166,35.0,203.0,0.3457,0.3504,Commercial,-3.007,False,True,0.3513,-1
28.50907458645669,76.96288076368603,34.61,0.4129,-0.1835,-0.2575,-1.5226,Very Low,4559,31.162,198.1,0.2825,0.2656,Green Space,-3.484,False,True,0.2605,-1
28.6662006977676,77.22959945847546,45.81,0.4152,-0.0678,0.1269,1.1315,High,19936,3.627,189.5,0.4686,0.5674,Commercial,5.249,True,False,0.5487,63
28.430632282930002,77.20203433976296,44.65,0.4285,-0.1659,-0.14,0.8564,High,6492,25.91,203.7,0.4688,0.4788,Industrial,-1.696,False,False,0.4702,-1
28.797262962556438,77.00882129386335,44.0,0.5131,-0.134,-0.296,0.7033,High,14105,25.595,200.5,0.3077,0.4496,Commercial,-2.196,False,True,0.4322,-1
28.70319891157859,77.1590473170146,46.55,0.348,-0.0642,-0.1425,1.3065,High,34564,6.056,198.5,0.4631,0.6234,Industrial,6.594,True,False,0.6177,73
28.76388211524098,76.9395966145313,43.95,0.4436,-0.1997,-0.3718,0.6913,High,4018,30.647,206.7,0.4565,0.4439,Industrial,-5.704,False,True,0.439,-1
28.570172464702335,76.97445013682722,43.9,0.4415,-0.1473,-0.0969,0.6791,High,4165,26.809,203.4,0.4606,0.4645,Transportation,-1.328,False,False,0.4499,-1
28.865935051709553,77.32317812789027,37.32,0.5227,-0.2699,-0.1167,-0.879,Low,7955,26.431,192.2,0.3142,0.2738,Residential,-8.751,False,True,0.278,-1
28.828698138234653,77.05072209219715,34.39,0.4627,-0.189,-0.276,-1.5741,Very Low,48350,24.451,195.9,0.4223,0.3787,Water Body,3.23,True,False,0.395,108
28.773624078595404,76.96494367309242,32.59,0.3266,-0.1895,-0.1207,-2.0008,Very Low,11928,28.488,195.5,0.3187,0.2681,Green Space,-3.683,False,True,0.2753,-1
28.493426579768943,77.08842520588789,40.41,0.51,-0.1723,0.0019,-0.1475,Moderate,4087,22.444,203.1,0.3348,0.3596,Industrial,-8.509,False,True,0.3442,-1
28.624026081788976,77.03737809869156,39.0,0.3819,-0.1143,-0.3104,-0.4812,Moderate,6278,18.265,204.6,0.4688,0.4124,Water Body,4.788,True,False,0.3976,33
28.42102580757787,77.21205980904804,40.21,0.5218,-0.1211,-0.2342,-0.1951,Moderate,17930,27.022,207.2,0.3748,0.4131,Residential,-1.782,False,False,0.3947,-1
28.474058956192422,77.33067921431035,42.16,0.4995,-0.1336,-0.319,0.2676,Moderate,10398,25.782,202.0,0.3526,0.4228,Transportation,1.977,True,False,0.4043,4
28.727863497556378,77.14178608647342,47.96,0.3969,-0.1307,-0.034,1.6418,Extreme,20302,9.371,203.4,0.4614,0.5813,Commercial,11.87,True,False,0.5762,83
28.75748583483575,77.14148506533782,48.29,0.3976,-0.0397,-0.1556,1.7208,Extreme,31440,12.069,198.2,0.5614,0.6671,Commercial,14.94,True,False,0.6508,94
28.86440467156842,77.02606526794898,45.62,0.5312,-0.0584,-0.2151,1.0863,High,18328,29.238,196.7,0.3762,0.5259,Industrial,0.668,False,False,0.495,-1
28.55639617190631,77.1279617753074,33.06,0.5502,-0.2691,-0.1391,-1.8884,Very Low,6478,14.191,207.6,0.2701,0.1867,Water Body,-5.108,False,True,0.1877,-1
28.577820658896737,77.00285772185744,39.46,0.4253,0.0236,-0.2277,-0.373,Moderate,3023,23.578,200.1,0.6044,0.4865,Green Space,0.993,False,False,0.4401,-1
28.625386789412385,76.8405569578993,40.41,0.6284,-0.2091,-0.2161,-0.1478,Moderate,777,35.0,209.9,0.3267,0.3172,Commercial,-2.756,False,True,0.2972,-1
28.490946252360455,77.28170904816803,39.64,0.3597,-0.1744,-0.1512,-0.3295,Moderate,15447,21.387,197.0,0.4375,0.4176,Green Space,6.018,True,False,0.4211,7
28.462362322561024,77.05901648361606,38.13,0.4248,-0.2043,-0.2338,-0.6877,Low,7986,27.121,203.9,0.2872,0.3225,Commercial,-7.663,False,True,0.3222,-1
28.628338364588448,77.09096512737754,36.85,0.4391,-0.0826,-0.1917,-0.99,Low,21629,12.418,193.0,0.4001,0.3995,Green Space,4.09,True,False,0.3825,35
28.508916487544422,76.88258546686723,39.34,0.4659,-0.208,-0.194,-0.4007,Moderate,8068,35.0,207.5,0.293,0.3357,Commercial,-5.6,False,True,0.3329,-1
28.721510717447604,77.26692636183675,42.82,0.2547,-0.0957,-0.1198,0.4241,Moderate,17188,10.05,200.7,0.4838,0.5308,Residential,6.743,True,False,0.5289,77
28.609832921058718,76.92687190589257,40.46,0.4124,-0.0341,-0.1253,-0.1356,Moderate,4591,30.581,199.5,0.3653,0.4366,Residential,-4.571,False,True,0.403,-1
28.79968553410776,77.04941679098,37.35,0.4576,-0.1092,-0.1242,-0.8734,Low,35997,22.253,195.6,0.3612,0.4184,Green Space,4.465,True,False,0.413,101
28.73612724896108,77.26853542900257,44.71,0.3987,0.0814,-0.2755,0.8712,High,16017,11.276,194.1,0.3217,0.5692,Residential,4.905,True,False,0.5212,88
28.54993598786338,77.0734692995089,35.41,0.3848,-0.0579,-0.0458,-1.3318,Low,14361,18.663,201.7,0.4497,0.3882,Water Body,1.503,False,False,0.3669,-1
28.799484704669695,77.31488769108789,40.86,0.4752,-0.1653,-0.1691,-0.0395,Moderate,14710,19.935,188.5,0.3347,0.3992,Commercial,-2.907,False,True,0.3911,-1
28.786286891598465,76.94675029474455,37.25,0.5084,-0.186,-0.2094,-0.8966,Low,14510,30.917,198.7,0.3334,0.3254,Residential,-5.869,False,True,0.3186,-1
28.585989621934484,77.20476874327693,36.78,0.4909,-0.147,-0.1909,-1.0065,Low,20194,8.702,206.0,0.3563,0.353,Green Space,1.285,False,False,0.3432,-1
28.538397489886517,77.33877924701648,38.42,0.3747,-0.0896,0.0034,-0.6191,Low,22070,21.025,196.9,0.4318,0.4408,Green Space,3.958,True,False,0.4307,14
28.727597841907986,77.12030295498236,50.96,0.4022,0.0242,0.0738,2.3517,Extreme,24951,11.059,198.4,0.535,0.7146,Commercial,12.427,True,False,0.6822,83
28.46708119213247,77.19301378830843,32.81,0.3966,-0.1912,-0.0084,-1.9477,Very Low,31501,21.862,203.7,0.395,0.3194,Water Body,-1.688,False,False,0.332,-1
28.49595593718805,77.04054559639651,34.54,0.4347,-0.2413,-0.1675,-1.5381,Very Low,1924,25.486,202.8,0.3652,0.2504,Green Space,-5.134,False,True,0.253,-1
28.40353388948048,77.22318204325998,37.13,0.5552,-0.0512,-0.1483,-0.9233,Low,9692,29.057,205.1,0.3539,0.3608,Green Space,-1.507,False,False,0.3216,-1
28.777723701201026,77.3035257688271,44.64,0.3775,-0.0862,-0.0356,0.8553,High,11348,17.296,191.9,0.4947,0.5336,Industrial,-0.057,False,False,0.5166,-1
28.719128411164174,77.19855833919577,39.49,0.3596,-0.1642,-0.0757,-0.3665,Moderate,15983,6.122,198.1,0.4663,0.4262,Green Space,4.251,True,False,0.4282,74
28.73847938174064,77.3173236428043,46.69,0.3348,-0.0976,-0.1167,1.3401,High,11711,15.708,193.9,0.3809,0.547,Industrial,2.969,True,False,0.5359,89
28.774749934890544,77.14021285251607,53.0,0.2813,0.052,-0.1373,2.8357,Extreme,24036,13.815,190.3,0.5473,0.7792,Industrial,13.518,True,False,0.7509,94
28.6202795722584,77.13434009462999,43.87,0.4428,-0.0692,0.0667,0.673,High,20421,8.481,192.7,0.4263,0.5226,Commercial,2.533,True,False,0.5021,36
28.672995774057387,76.99535996793567,36.8,0.4901,-0.1674,-0.0475,-1.0035,Low,8566,22.404,192.1,0.4201,0.333,Green Space,0.076,False,False,0.3208,-1
28.467102559101274,77.20191002049353,40.43,0.457,-0.097,-0.1888,-0.1414,Moderate,9576,21.862,201.1,0.3902,0.4212,Residential,-1.468,False,False,0.3987,-1
28.454974435297267,77.28979578609564,44.36,0.4301,-0.1434,-0.0411,0.7891,High,27150,25.385,205.0,0.3926,0.5125,Industrial,1.357,False,False,0.5109,-1
28.720833421659425,77.16962127532575,43.54,0.3309,-0.0799,-0.0771,0.5954,High,18123,7.002,193.9,0.4711,0.5357,Residential,7.382,True,False,0.5251,73
28.626126178948702,76.95885000250527,45.14,0.3918,-0.1823,-0.2279,0.9732,High,6447,26.767,201.4,0.4283,0.4781,Industrial,-3.249,False,True,0.4755,-1
28.67131333111097,77.11749564850805,46.66,0.3147,-0.3416,-0.1377,1.3332,High,18131,8.862,196.3,0.4564,0.4871,Industrial,6.427,True,False,0.5277,60
28.76719945155969,77.22552808264521,43.83,0.4658,-0.1395,-0.1323,0.6627,High,84286,11.885,191.5,0.355,0.6188,Residential,4.038,True,False,0.6455,97
28.704664793600283,77.3190752905851,45.2,0.4528,-0.0453,-0.2306,0.9879,High,16283,14.282,203.8,0.3816,0.5334,Residential,9.147,True,False,0.5052,78
28.665718112315837,76.91986398525549,40.02,0.4609,-0.1689,-0.2261,-0.2391,Moderate,13612,30.763,198.8,0.3307,0.383,Residential,-6.07,False,True,0.3761,-1
28.668419437157798,76.90502351639294,31.52,0.5206,-0.1539,-0.3096,-2.2528,Very Low,1856,32.413,196.7,0.3192,0.21,Water Body,-6.91,False,True,0.1889,-1
28.545896047070052,77.05060120041878,44.55,0.5117,-0.0804,-0.2495,0.8332,High,3956,20.879,199.4,0.3507,0.4657,Industrial,0.597,False,False,0.4325,-1
28.41479256059261,76.90406169642593,39.58,0.4765,-0.1829,-0.1589,-0.3434,Moderate,3612,35.0,208.8,0.3128,0.3418,Residential,-4.043,False,True,0.3307,-1
28.609624346831534,77.3400187453776,48.38,0.4981,-0.1034,-0.0753,1.7421,Extreme,15332,16.984,194.8,0.4647,0.5717,Industrial,9.022,True,False,0.5503,43
28.503000642953374,77.0563952273141,38.77,0.4278,-0.3219,-0.0953,-0.5355,Low,5222,23.727,205.1,0.2776,0.2797,Commercial,-5.191,False,True,0.3,-1
28.596093748987823,77.11214136472464,37.68,0.3852,-0.1762,-0.1083,-0.7934,Low,10513,12.064,197.9,0.3331,0.3476,Water Body,1.367,False,False,0.3466,-1
28.80963347516872,76.95581476845932,31.25,0.4605,-0.2677,-0.3172,-2.317,Very Low,6088,31.274,195.5,0.2644,0.1701,Water Body,-7.095,False,True,0.1778,-1
28.512290953215363,77.06905432300384,41.41,0.5365,-0.1609,-0.254,0.089,Moderate,22240,22.029,200.8,0.3009,0.4095,Industrial,-4.966,False,True,0.3998,-1
28.42798531601075,77.34219390677922,41.84,0.3592,-0.1702,-0.1973,0.1913,Moderate,4955,30.758,201.2,0.3605,0.416,Commercial,0.074,False,False,0.413,-1
28.535064268170558,77.08923044719715,42.71,0.5432,-0.1601,-0.0859,0.3966,Moderate,14129,18.653,205.6,0.4371,0.4406,Transportation,-2.57,False,True,0.4257,-1
28.540925003728006,76.84450020216029,35.97,0.5557,-0.2582,-0.2301,-1.1993,Low,10537,35.0,209.5,0.313,0.2561,Residential,-5.012,False,True,0.2567,-1
28.71771992706891,76.96368904042782,34.51,0.5734,-0.1847,-0.2885,-1.5458,Very Low,5081,26.575,205.7,0.2939,0.2408,Water Body,-3.627,False,True,0.2231,-1
28.667375433123812,77.33901196354404,39.14,0.4074,-0.041,-0.0353,-0.4488,Moderate,15636,15.768,190.4,0.5058,0.467,Green Space,8.808,True,False,0.4414,67
28.776271140371076,77.34442443183947,33.73,0.4225,-0.1492,-0.2413,-1.7302,Very Low,9777,20.569,188.7,0.3612,0.2907,Water Body,-2.137,False,True,0.2812,-1
28.718870499357145,76.94735147578358,39.34,0.5315,-0.13,-0.2807,-0.4002,Moderate,33679,28.372,196.6,0.3393,0.4215,Transportation,-5.206,False,True,0.4127,-1
28.595065693491232,77.15378468480036,42.86,0.4989,-0.2328,-0.0941,0.4337,Moderate,11361,9.031,200.2,0.423,0.4136,Residential,0.076,False,False,0.4146,-1
28.790729784639694,76.87922324855776,39.09,0.4453,-0.1672,-0.1844,-0.4593,Moderate,90000,35.0,195.2,0.2843,0.5314,Commercial,-8.808,False,True,0.5681,-1
28.480147001555697,77.13449523764676,37.48,0.357,-0.225,-0.2211,-0.8426,Low,14611,21.555,200.6,0.3459,0.342,Residential,-6.024,False,True,0.355,-1
28.41090179510425,76.90421955775808,38.78,0.352,-0.193,-0.1799,-0.5335,Low,7282,35.0,211.3,0.2564,0.3414,Residential,-3.357,False,True,0.3446,-1
28.443222973172308,77.25751737705775,36.37,0.4645,-0.0617,-0.2617,-1.1043,Low,18935,25.41,206.8,0.451,0.4,Green Space,0.603,False,False,0.3755,-1
28.746732488286295,77.31918324367714,35.68,0.5435,-0.1446,-0.2135,-1.2691,Low,9632,16.379,196.7,0.4136,0.3154,Water Body,1.994,True,False,0.2951,89
28.621701070520665,76.92822327210524,43.37,0.3746,-0.133,-0.1827,0.5551,High,18952,30.201,204.2,0.3801,0.4883,Industrial,-3.817,False,True,0.4846,-1
28.477410453936127,77.07598320598336,31.14,0.4951,-0.2757,-0.3613,-2.3427,Very Low,2707,24.686,201.7,0.3203,0.1637,Green Space,-7.994,False,True,0.1683,-1
28.640501492049612,76.89204192922206,36.96,0.4792,-0.2047,-0.0938,-0.9652,Low,13556,33.951,203.1,0.2914,0.3074,Residential,-5.957,False,True,0.3059,-1
28.47310980930232,77.01296140360722,41.87,0.6196,-0.2715,-0.3029,0.1996,Moderate,3298,29.433,210.0,0.3939,0.3388,Industrial,-4.468,False,True,0.3327,-1
28.73423378003731,76.87319985492788,38.5,0.6416,-0.1851,-0.2644,-0.5988,Low,2946,35.0,203.6,0.3064,0.2933,Residential,-7.735,False,True,0.2688,-1
28.614155012275532,76.97491872928889,34.92,0.4948,-0.1381,-0.0883,-1.4482,Low,36486,25.264,206.0,0.3195,0.3536,Green Space,-2.267,False,True,0.3509,-1
28.58289018852631,77.34501407021554,45.11,0.4604,-0.0153,-0.1214,0.9671,High,14742,18.735,201.5,0.4647,0.5561,Residential,4.912,True,False,0.5207,31
28.54472580279098,76.86274766633392,38.71,0.5417,-0.2236,-0.1721,-0.5497,Low,1152,35.0,204.6,0.2808,0.2891,Residential,-6.129,False,True,0.2791,-1
28.702535644697065,77.27807384810552,46.01,0.2963,-0.091,-0.2807,1.1791,High,35509,9.964,198.2,0.4487,0.6119,Residential,9.594,True,False,0.616,77
28.573670053065626,76.87950081465459,40.17,0.5107,-0.1907,-0.2344,-0.2044,Moderate,1668,35.0,203.4,0.3808,0.3528,Residential,-5.891,False,True,0.3394,-1
28.442071961271726,77.10978843486986,37.08,0.4501,-0.2427,-0.1982,-0.9367,Low,23588,26.468,207.1,0.3195,0.328,Commercial,-7.253,False,True,0.3417,-1
28.456642833017845,77.07058109413795,35.64,0.5086,-0.2807,-0.1918,-1.2768,Low,6031,26.957,209.9,0.2859,0.234,Residential,-8.243,False,True,0.2403,-1
28.861710878983764,77.31509287661052,39.44,0.5511,-0.2856,-0.0757,-0.3776,Moderate,3541,25.563,197.4,0.3152,0.2884,Residential,-8.593,False,True,0.2909,-1
28.83611873153965,76.9415154297654,40.3,0.4658,-0.2106,-0.0003,-0.1744,Moderate,15243,34.194,199.8,0.3561,0.3798,Residential,-7.379,False,True,0.3815,-1
28.735859424229158,76.93163782784362,36.42,0.5228,-0.138,-0.1241,-1.0936,Low,10941,30.516,201.6,0.3614,0.3256,Green Space,-6.634,False,True,0.3064,-1
28.527617581500568,77.22184418516959,42.77,0.519,-0.1218,-0.2125,0.4116,Moderate,14598,15.388,206.5,0.4114,0.4558,Residential,3.674,True,False,0.4359,10
28.865204661126906,77.21011693128118,40.59,0.3333,-0.1181,-0.0675,-0.1036,Moderate,10747,22.381,189.2,0.3488,0.43,Residential,-3.351,False,True,0.4223,-1
28.77380043390358,77.19658270295132,45.07,0.2457,-0.0306,-0.2009,0.9567,High,17422,12.188,200.9,0.4133,0.5799,Residential,6.031,True,False,0.5665,96
28.744107290796318,76.85332482924792,40.05,0.5577,-0.198,-0.4161,-0.2334,Moderate,7088,35.0,201.5,0.2993,0.3353,Transportation,-6.97,False,True,0.3225,-1
28.615693521029016,76.97257944022971,42.51,0.5351,-0.2291,-0.2908,0.3493,Moderate,5930,25.481,203.0,0.3014,0.3656,Commercial,-2.971,False,True,0.36,-1
28.530675949685676,77.26834654070569,48.43,0.3723,-0.0009,-0.3821,1.7535,Extreme,36752,16.785,198.3,0.5664,0.7012,Residential,12.512,True,False,0.6825,12
28.44626766183368,77.14643764194295,40.82,0.5003,-0.1695,-0.2127,-0.051,Moderate,11776,24.811,199.4,0.3859,0.3969,Commercial,-5.101,False,True,0.386,-1
28.833249150341043,77.1471194095734,37.88,0.4695,-0.1021,-0.19,-0.7457,Low,18569,19.586,200.3,0.3896,0.3951,Water Body,7.457,True,False,0.3776,112
28.618772619120133,76.99091746875645,41.71,0.5225,-0.0875,-0.3208,0.161,Moderate,6280,23.42,203.7,0.3991,0.4297,Commercial,0.218,False,False,0.3983,-1
28.49713441510171,76.97268827516405,40.55,0.4551,-0.1485,-0.2564,-0.1152,Moderate,6379,31.032,203.9,0.3507,0.3884,Commercial,-4.909,False,True,0.3742,-1
28.54685917959231,77.3227429928893,44.21,0.4762,-0.0839,-0.3016,0.7533,High,16422,19.076,200.3,0.3837,0.4993,Residential,7.03,True,False,0.4766,21
28.67802539309211,77.21115519221513,42.3,0.4293,-0.1362,0.1124,0.3006,Moderate,16418,2.212,196.0,0.3331,0.4449,Commercial,2.548,True,False,0.436,63
28.48485093581083,76.90470172007893,37.05,0.5195,-0.1585,-0.2567,-0.9445,Low,1662,35.0,199.9,0.3061,0.2964,Residential,-6.535,False,True,0.2762,-1
28.81117485636434,77.31823054049332,38.75,0.4942,-0.2159,-0.0849,-0.5401,Low,8396,21.165,191.7,0.3769,0.3367,Residential,-4.746,False,True,0.3332,-1
28.7640893743209,77.13700877742721,41.17,0.3042,-0.0837,-0.1377,0.032,Moderate,18140,12.953,190.6,0.5307,0.5119,Water Body,14.642,True,False,0.5043,94
28.74534221885645,77.01001480714811,42.78,0.3953,-0.1504,-0.0325,0.4144,Moderate,11199,22.634,199.6,0.3648,0.448,Commercial,1.232,False,False,0.4417,-1
28.607404659092047,77.04254111766379,44.42,0.563,-0.1521,-0.2127,0.8019,High,25179,18.26,207.9,0.4662,0.4994,Residential,5.724,True,False,0.4875,33
28.70110824353717,77.20995630027983,44.51,0.3624,-0.1123,0.2002,0.8248,High,18292,4.363,194.2,0.4129,0.5224,Commercial,2.725,True,False,0.5154,75
28.680367025078112,77.0318990523599,35.56,0.4631,-0.1197,-0.1719,-1.2961,Low,13020,18.416,203.1,0.37,0.3346,Water Body,2.684,True,False,0.3179,57
28.71192636874631,77.13515984755048,47.17,0.4309,-0.0711,-0.1568,1.4536,High,23973,8.684,195.0,0.5112,0.6039,Commercial,10.774,True,False,0.5868,72
28.440533274147146,77.20235474329068,42.75,0.444,-0.1579,0.0387,0.4068,Moderate,24901,24.812,203.3,0.3955,0.4737,Commercial,-1.741,False,False,0.4725,-1
28.599587553041893,76.93964124862605,43.07,0.5166,-0.074,-0.3439,0.4822,Moderate,31523,29.448,199.8,0.3812,0.5107,Industrial,-4.617,False,True,0.4913,-1
28.41997480345371,77.32156315798369,41.65,0.485,-0.1038,-0.2292,0.1472,Moderate,6369,30.412,204.6,0.3194,0.4122,Commercial,-0.758,False,False,0.3869,-1
28.637115593237368,77.02164811343206,35.57,0.3761,-0.1302,-0.3239,-1.2936,Low,15271,19.691,206.6,0.3799,0.3521,Water Body,3.439,True,False,0.3458,44
28.558333381919734,77.05388112610923,42.19,0.4731,-0.1179,-0.3396,0.2741,Moderate,51652,19.747,203.4,0.4423,0.5444,Residential,3.194,True,False,0.5481,16
28.469371610655703,77.19624232761258,34.66,0.4302,-0.0877,-0.3622,-1.5087,Very Low,7195,21.604,204.9,0.3473,0.3196,Green Space,-1.816,False,False,0.2962,-1
28.449633424506825,77.15048039558776,39.69,0.6094,-0.2191,-0.1224,-0.318,Moderate,17259,24.349,206.1,0.3234,0.3407,Commercial,-4.818,False,True,0.3333,-1
28.6820693946453,77.06446111683898,43.49,0.4487,-0.1553,-0.282,0.5825,High,11992,14.848,198.4,0.3811,0.4543,Residential,5.55,True,False,0.445,58
28.481884624897702,77.17136844055341,40.22,0.4121,-0.142,-0.1979,-0.1918,Moderate,10111,20.414,208.0,0.3789,0.4068,Residential,-3.037,False,True,0.3969,-1
28.844057656820862,77.30044243686174,32.6,0.4996,-0.1496,-0.0969,-1.9972,Very Low,7375,23.05,189.7,0.3013,0.2414,Water Body,-6.601,False,True,0.2243,-1
28.678909347056187,77.24814464448916,46.83,0.3105,-0.0219,-0.0063,1.3736,High,20963,5.913,190.4,0.5054,0.6289,Residential,7.172,True,False,0.6105,64
28.56649750617672,77.26037209507693,51.67,0.3759,0.0182,-0.1154,2.5202,Extreme,37658,12.908,195.7,0.4684,0.7427,Industrial,11.473,True,False,0.7207,19
28.68363943591108,76.97178828836932,42.43,0.4166,-0.1594,-0.069,0.3319,Moderate,8977,25.093,203.2,0.4004,0.4379,Residential,-2.517,False,True,0.4303,-1
28.410945858094255,77.0538957081418,40.46,0.4197,-0.2522,-0.0348,-0.1364,Moderate,2393,32.269,204.8,0.4181,0.3585,Commercial,-5.62,False,True,0.3647,-1
28.860108422355893,77.12244776224357,44.92,0.3413,-0.1115,-0.29,0.9205,High,26097,23.288,194.5,0.471,0.5624,Residential,6.621,True,False,0.5615,118
28.631505649732592,76.86253731777236,41.22,0.664,-0.1624,-0.1364,0.0455,Moderate,13749,35.0,202.7,0.3094,0.3679,Industrial,-4.596,False,True,0.3432,-1
28.775712909080138,77.23259401199243,46.95,0.4255,-0.1535,-0.1778,1.4026,High,9702,13.014,195.3,0.4667,0.5288,Industrial,3.167,True,False,0.5197,97
28.43971039996277,77.0049663464517,32.91,0.4609,-0.2978,-0.1929,-1.9243,Very Low,635,32.775,210.7,0.2958,0.1803,Green Space,-4.852,False,True,0.1908,-1
28.633595998802317,76.98412399980091,39.15,0.4327,-0.1637,-0.3137,-0.4466,Moderate,7310,23.869,207.9,0.3063,0.3559,Residential,0.589,False,False,0.347,-1
28.63553935729017,76.97223892477163,45.81,0.4669,-0.1522,-0.2261,1.1325,High,4385,25.148,198.1,0.3912,0.476,Industrial,-1.637,False,False,0.4603,-1
28.85015669838799,76.98452342536423,39.24,0.4487,-0.2891,-0.2176,-0.4241,Moderate,27480,31.356,200.1,0.3748,0.3665,Commercial,-5.023,False,True,0.3913,-1
28.674429465140516,77.0123875644005,37.11,0.3599,-0.1201,-0.0464,-0.9281,Low,8617,20.525,201.2,0.451,0.3842,Green Space,1.733,False,False,0.3735,-1
28.627274912507335,77.14846052461884,42.31,0.4513,-0.1663,-0.1748,0.302,Moderate,16489,6.756,194.6,0.3582,0.4354,Commercial,2.454,True,False,0.4305,37
28.528148318284106,77.13761831416903,40.04,0.4606,-0.0651,-0.3824,-0.234,Moderate,8781,16.457,204.1,0.354,0.417,Residential,-5.654,False,True,0.3877,-1
28.559153118724424,76.97041299433695,41.9,0.4101,-0.1227,-0.1796,0.2066,Moderate,1979,27.713,211.3,0.4192,0.4325,Residential,-1.167,False,False,0.4145,-1
28.64992275318634,76.94527638105234,40.22,0.3987,-0.1222,-0.2922,-0.1915,Moderate,6834,27.985,199.0,0.4793,0.4303,Residential,-4.127,False,True,0.4158,-1
28.610677500946423,77.26144267693638,47.98,0.3329,-0.0313,-0.1308,1.6454,Extreme,18323,9.284,197.3,0.4989,0.6333,Residential,10.542,True,False,0.6135,40
28.410373798342558,76.88728890221495,39.14,0.4423,-0.2046,-0.1205,-0.4483,Moderate,1172,35.0,202.4,0.4127,0.3473,Residential,-3.265,False,True,0.3419,-1
28.79662012361329,77.10153964901247,49.42,0.3185,-0.0581,-0.1806,1.9875,Extreme,17267,18.138,195.5,0.5198,0.6513,Commercial,9.524,True,False,0.6371,103
28.830157170483087,77.10548604583653,40.83,0.4075,-0.0052,-0.2145,-0.0475,Moderate,19787,21.056,195.7,0.5094,0.5185,Green Space,9.089,True,False,0.4884,110
28.467319562719332,77.13280977147393,30.65,0.6568,-0.1624,-0.1913,-2.4589,Very Low,6655,22.965,211.6,0.3604,0.1895,Water Body,-6.537,False,True,0.1615,-1
28.665937348898744,77.29168155911263,48.75,0.4435,-0.0999,-0.0569,1.8285,Extreme,26463,10.512,192.7,0.5314,0.6268,Residential,14.56,True,False,0.6155,65
28.452116355745012,77.15819610944833,38.9,0.6143,-0.2443,-0.2816,-0.5061,Low,9867,23.91,207.6,0.3448,0.3052,Residential,-3.867,False,True,0.2982,-1
28.722675244659108,77.33655322078648,43.84,0.3939,-0.1862,-0.1031,0.6649,High,10544,16.804,195.5,0.3988,0.4577,Commercial,4.099,True,False,0.458,79
28.534992216242724,77.28439007250785,46.64,0.5145,-0.0175,-0.2602,1.328,High,27335,17.296,208.7,0.4742,0.6017,Commercial,12.05,True,False,0.5694,12
